IND	X1	X2	X3	X4	X5	X6	X7	X8	X9	Raca 
1	120	8.2	18	17	18	7.0	32	35	5.2	Chacaisdourados	
2	107	7.9	17	17	20	7.0	32	34	5.3	Chacaisdourados	
3	110	8.1	18	16	19	7.1	31	32	4.7	Chacaisdourados	
4	116	8.5	20	18	18	7.1	32	33	4.7	Chacaisdourados	
5	114	8.2	19	18	19	7.9	32	33	5.1	Chacaisdourados	
6	111	8.5	19	16	18	7.1	30	33	5.0	Chacaisdourados	
7	113	8.5	17	18	19	7.1	30	34	4.6	Chacaisdourados	
8	117	8.7	20	17	18	7.0	30	34	5.2	Chacaisdourados	
9	114	9.4	21	19	19	7.5	31	35	5.3	Chacaisdourados	
10	112	8.2	19	17	19	6.8	30	34	5.1	Chacaisdourados	
11	110	8.5	18	17	19	7.0	31	33	4.9	Chacaisdourados	
12	111	7.7	20	18	18	6.7	30	32	4.5	Chacaisdourados	
13	107	7.2	17	16	17	6.0	28	35	4.7	Chacaisdourados	
14	108	8.2	18	16	17	6.5	29	33	4.8	Chacaisdourados	
15	110	7.3	19	15	17	6.1	30	33	4.5	Chacaisdourados	
16	105	8.3	19	17	17	6.5	29	32	4.6	Chacaisdourados	
17	107	8.4	18	17	18	6.2	29	31	4.3	Chacaisdourados	
18	106	7.8	19	18	18	6.2	31	32	4.4	Chacaisdourados	
19	111	8.4	17	16	18	7.0	30	34	4.7	Chacaisdourados	
20	111	7.6	19	17	18	6.5	30	35	4.6	Chacaisdourados	
1	167	11.5	29	28	25	9.5	41	45	7.2	LobosIndianos	
2	167	12.3	27	26	25	10.0	42	47	7.9	LobosIndianos	
3	150	11.5	21	24	25	9.3	41	46	8.5	LobosIndianos	
4	145	11.3	28	24	24	9.2	36	41	7.2	LobosIndianos	
5	177	12.4	31	27	27	10.5	43	50	7.9	LobosIndianos	
6	166	13.4	32	27	26	9.5	40	47	7.3	LobosIndianos	
7	164	12.1	27	24	25	9.9	42	45	8.3	LobosIndianos	
8	166	12.6	30	26	25	7.7	40	43	7.9	LobosIndianos	
9	131	11.8	20	24	23	8.8	38	40	6.5	LobosIndianos	
10	163	10.8	27	24	24	9.2	39	48	7.0	LobosIndianos	
11	164	10.7	24	23	26	9.5	43	47	7.6	LobosIndianos	
12	141	10.4	20	23	23	8.9	38	43	6.0	LobosIndianos	
13	148	10.6	26	21	24	8.9	39	40	7.0	LobosIndianos	
14	158	10.7	25	25	24	9.8	41	45	7.4	LobosIndianos	
1	123	9.7	22	21	20	7.8	27	36	6.1	Cuons	
2	135	11.8	25	21	23	8.9	31	38	7.1	Cuons	
3	138	11.4	25	25	22	9.0	30	38	7.3	Cuons	
4	141	10.8	26	25	21	8.1	29	39	6.6	Cuons	
5	135	11.2	25	25	21	8.5	29	39	6.7	Cuons	
6	136	11.0	22	24	22	8.1	31	39	6.8	Cuons	
7	131	10.4	23	23	23	8.7	30	36	6.8	Cuons	
8	137	10.6	25	24	21	8.3	28	38	6.5	Cuons	
9	135	10.5	25	25	21	8.4	29	39	6.9	Cuons	
10	131	10.9	25	24	21	8.5	29	35	6.2	Cuons	
11	130	11.3	22	23	21	8.7	29	37	7.0	Cuons	
12	144	10.8	24	26	22	8.9	30	42	7.1	Cuons	
13	139	10.9	26	23	22	8.7	30	39	6.9	Cuons	
14	123	9.8	23	22	20	8.1	26	34	5.6	Cuons	
15	137	11.3	27	26	23	8.7	30	39	6.5	Cuons	
16	128	10.0	22	23	22	8.7	29	37	6.6	Cuons	
17	122	9.9	22	22	20	8.2	26	36	5.7	Cuons	
1	112	10.1	17	18	19	7.7	31	33	5.8	c?espr?histtailandes	
2	115	10	18	23	20	7.8	33	36	6	c?espr?histtailandes	
3	136	11.9	22	25	21	8.5	36	39	7	c?espr?histtailandes	
4	11	9.9	19	20	18	7.3	29	34	5.3	c?espr?histtailandes	
5	130	11.2	23	27	20	9.1	35	35	6.6	c?espr?histtailandes	
6	123	10.7	19	26	20	8.4	33	37	6.3	c?espr?histtailandes	
7	132	9.6	19	20	19	9.7	35	38	6.6	c?espr?histtailandes	
8	121	10.7	21	23	19	7.9	32	35	6	c?espr?histtailandes	
9	122	9.8	22	23	18	7.9	32	35	6.1	c?espr?histtailandes	
10	124	9.5	20	21	19	7.6	32	37	6	c?espr?histtailandes	
1	123	10.1	23	23	19	7.8	32	33	5.6	c?esmodernosdaTail?ndia	
2	137	9.6	19	22	19	7.8	32	40	5.8	c?esmodernosdaTail?ndia	
3	121	10.2	18	21	21	7.9	35	38	6.2	c?esmodernosdaTail?ndia	
4	130	10.7	24	22	20	7.9	32	37	5.9	c?esmodernosdaTail?ndia	
5	149	12	25	25	21	8.4	35	43	6.6	c?esmodernosdaTail?ndia	
6	125	9.5	23	20	20	7.8	33	37	6.3	c?esmodernosdaTail?ndia	
7	126	9.1	20	22	19	7.5	32	35	5.5	c?esmodernosdaTail?ndia	
8	125	9.7	19	19	19	7.5	32	37	6.2	c?esmodernosdaTail?ndia	
9	121	9.6	22	20	18	7.6	31	35	5.3	c?esmodernosdaTail?ndia	
10	122	8.9	20	20	19	7.6	31	35	5.7	c?esmodernosdaTail?ndia	
11	115	9.3	19	19	20	7.8	33	34	6.5	c?esmodernosdaTail?ndia	
12	112	9.1	19	20	19	6.6	30	33	5.1	c?esmodernosdaTail?ndia	
13	124	9.3	21	21	18	7.1	30	36	5.5	c?esmodernosdaTail?ndia	
14	128	9.6	22	21	19	7.5	32	38	5.8	c?esmodernosdaTail?ndia	
15	130	8.4	23	20	19	7.3	31	40	5.8	c?esmodernosdaTail?ndia	
16	127	10.5	25	23	20	8.7	32	35	6.1	c?esmodernosdaTail?ndia	
