Country	popu	density	urban	lifeexpf	lifeexpem	literacy	pop-incr	babymort
Argentina   	33900	12	86	75	68	95	1.3	25.6
Australia   	17800	2.3	85	80	74	100	1.4	7.3
Brazil      	156600	18	75	67	57	81	1.3	66
Canada      	29100	2.8	77	81	74	97	0.7	6.8
Chile       	14000	18	85	78	71	93	1.7	14.6
Denmark     	5200	120	85	79	73	99	0.1	6.6
France      	58000	105	73	82	74	99	0.5	6.7
Germany     	81200	227	85	79	73	99	0.4	6.5
Italy       	58100	188	69	81	74	97	0.2	7.6
Japan       	125500	330	77	82	76	99	0.3	4.4
Netherlands 	15400	366	89	81	75	99	0.6	6.3
SaudiArabia	18000	7.7	77	70	66	62	3.2	52
SouthAfrica	43900	35	49	68	62	76	2.6	47.1
Spain       	39200	77	78	81	74	95	0.3	6.9
Sweden      	8800	19	84	81	75	99	0.5	5.7
Switzerland 	7000	170	62	82	75	99	0.7	6.2
UK          	58400	237	89	80	74	99	0.2	7.2
USA         	260800	26	75	79	73	97	1	8.1
Russia      	149200	8.8	74	74	64	99	0.2	27
Nigeria     	98100	102	35	57	54	51	3.1	75
